attach,http://iotawallet.tobg.com.de:14265 score: 35.0506856739521 scoreNorm: 0.14735643808754129
452,6731,0
11567,7071,1
835,10783,2
699,10322,3
274,22868,4
751,20745,5
407,4157,6
737,20069,7
1741,8933,8
732,6919,9
601,9469,10
390,12448,11
825,3462,12
477,32628,13
479,3201,14
261,9015,15
535,7101,16
586,6221,17
2018,23557,18
2139,8154,19
1258,12459,20
689,34671,21
1513,4287,22
917,21980,23
654,5363,24
673,23544,25
5448,6313,26
497,5088,27
350,6402,28
317,10740,29
334,8415,30
1992,6535,31
507,17909,32
585,2243,33
836,5934,34
375,6627,35
759,21466,36
1885,26729,37
1197,7121,38
633,9252,39
2712,14876,40
527,10431,41
398,17534,42
490,16731,43
3853,11484,44
