attach,http://89.163.242.213:14265 score: 237.25413864474828 scoreNorm: 1
1713,4601,0
7077,6136,1
13806,11592,2
2806,1355,3
1046,5104,4
1225,369,5
536,5707,6
631,3760,7
463,13605,8
573,2293,9
10553,12831,10
3806,11846,11
482,427,12
5258,2833,13
793,1764,14
6205,3525,15
419,6356,16
773,25764,17
11195,25705,18
8606,17512,19
2563,21519,20
403,1494,21
738,6664,22
854,8055,23
718,5007,24
3884,9512,25
1260,1760,26
5252,5135,27
505,4133,28
1459,6938,29
840,7789,30
1481,3470,31
1136,5574,32
976,845,33
1513,18016,34
1715,640,35
909,896,36
974,3701,37
2285,9373,38
10188,1252,39
809,3834,40
752,8939,41
1654,2206,42
1415,2905,43
3304,5548,44
