attach,https://hanspetzersnode.org:14267 score: 61.5232244823128 scoreNorm: 0.2760376096760487
515,12522,0
1034,53273,1
36566,9475,2
10772,26851,3
11682,22938,4
-1,-1,7
731,80599,5
86010,34629,6
26922,50113,8
19702,27312,9
5757,79427,10
6305,72158,11
2463,59754,12
66017,40422,13
20188,103604,14
22817,128095,15
123425,74520,16
86958,96697,17
14074,236642,18
150517,58880,20
43824,154694,22
186259,188642,19
97603,73741,23
-1,-1,26
63119,129524,24
236065,265527,21
260955,87962,25
130793,194576,27
60323,222179,28
23675,267006,29
166310,59755,31
130627,85538,32
59419,171084,33
-1,-1,34
-1,-1,30
-1,-1,35
-1,-1,40
-1,-1,39
-1,-1,41
422364,64246,36
351910,106244,37
71706,120008,42
315735,183416,38
244388,22175,43
199485,70511,44
