attach,https://pow.iota.community:443 score: 51.25821053981781 scoreNorm: 0.218592689241008
1607,2653,0
666,5900,1
1251,2335,2
15139,3699,3
21793,3803,4
1588,18183,5
841,3365,6
23039,7132,7
19640,4292,8
18679,13102,9
4421,1686,10
31609,14845,11
904,23036,12
21175,955,13
679,2138,14
1094,1338,15
1128,16074,16
3099,16467,17
14201,6887,18
18550,9202,19
605,4549,20
1129,2338,21
23362,6366,22
875,21116,23
1477,2436,24
753,5676,25
6712,10648,26
11353,3523,27
6476,7337,28
665,9489,29
6240,19973,30
8713,6450,31
3547,2276,32
1304,14453,33
888,3872,34
16970,5581,35
31866,9820,36
19314,2161,37
2345,15198,38
22683,20688,40
93432,91801,39
11743,66724,41
25341,46969,42
20367,4900,43
863,11082,44
