attach,http://mandelhost.de:14265 score: 93.12293871688843 scoreNorm: 0.39712649719477655
3680,178597,0
196173,120577,1
134327,309207,2
73728,323490,3
11698,462966,4
50108,480015,5
371752,354689,6
277725,607452,7
245637,764324,8
184210,907526,9
122843,1030120,10
61331,1117343,11
265501,1041504,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
