attach,https://iotanode.world:14267 score: 55.0961800550663 scoreNorm: 0.225406140862136
1661,15532,0
29561,25250,1
1432,51872,2
17837,16130,3
2379,31325,4
1414,16735,5
866,15947,6
633,27801,7
34366,37869,8
1221,44936,9
2511,27985,10
704,27270,11
5275,31296,12
1206,32136,13
15411,22524,14
1740,27420,15
1388,7617,16
1888,28101,17
983,20162,18
1012,19359,19
1456,54817,20
2219,56333,21
1040,53421,22
29144,27787,23
20623,60987,24
30136,24337,25
13816,26972,26
9309,3045,27
1534,23962,28
1356,30937,29
540,24130,30
660,30601,31
821,24030,32
1068,31869,33
22580,27152,34
1196,20608,35
3463,14635,36
1052,4403,37
977,15257,38
2140,26524,39
1336,36553,40
1465,47741,41
1681,349,42
1086,13530,43
1170,6117,44
