attach,http://207.180.252.59:14265 score: 44.503103955090424 scoreNorm: 0.1828482077881365
1816,13204,0
917,10636,1
495,7529,2
1943,7173,3
1579,6797,4
1369,13423,5
551,5709,6
1363,44842,7
1099,62800,8
1705,9200,9
728,1672,10
765,19459,11
1276,16470,12
682,11951,13
524,8072,14
1198,1078,15
1437,12407,16
1430,5882,17
1027,67008,18
39078,4206,19
799,5543,20
794,11206,21
1765,7464,22
1011,3917,23
1232,4399,24
312,15601,25
641,1524,26
707,19024,27
732,3578,28
1377,27652,29
983,16765,30
2016,14260,31
1094,9326,32
651,8488,33
728,19462,34
1467,10929,35
1743,20567,36
968,5366,37
1011,20412,38
533,17435,39
6412,4880,40
2934,22097,41
1223,25354,42
3570,21312,43
824,17325,44
