attach,https://node01.gubiota.ch:443 score: 39.936976301280914 scoreNorm: 0.16781465848850122
1102,44966,0
15382,44409,1
-1,-1,2
-1,-1,5
-1,-1,4
-1,-1,3
-1,-1,6
-1,-1,7
-1,-1,9
-1,-1,8
-1,-1,11
-1,-1,10
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,23
-1,-1,22
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
114954,23152,30
-1,-1,32
-1,-1,31
-1,-1,33
-1,-1,34
-1,-1,35
57658,53567,36
17725,62575,38
-1,-1,37
-1,-1,39
-1,-1,41
-1,-1,40
-1,-1,42
-1,-1,43
-1,-1,44
