attach,https://node-iota.org:14267 score: 52.37205977551639 scoreNorm: 0.22006671860347543
4642,3435,0
1135,10691,1
760,43327,2
13885,35521,3
1097,11752,4
2309,41788,5
13748,16340,6
3464,6603,8
4838,60446,7
25641,39875,9
32716,24455,10
2494,36655,11
756,5246,13
37341,30120,12
1106,10845,14
32458,28852,15
13677,8454,16
2187,15862,17
5898,20686,18
4742,35795,19
626,12539,20
16828,55093,21
9122,20354,22
31485,42168,23
45583,32708,24
13250,69034,25
19899,50989,26
7322,47394,27
41982,60524,28
21925,72016,30
66770,88461,29
17066,82079,31
14667,138440,32
79828,27844,33
9572,69175,34
56902,34596,35
75115,53641,36
22491,153886,37
71324,50768,39
55946,92392,40
129226,205764,38
62705,39708,42
7171,63265,43
124685,105486,41
42220,39218,44
