attach,https://ultranode.iotatoken.nl:443 score: 226.40157269965277 scoreNorm: 0.9960729075727933
4135,21301,0
5558,25643,1
2808,3620,2
9898,6616,3
3037,8796,4
727,12468,5
7753,30546,6
5696,10044,8
16084,23541,7
3140,14977,9
1140,5338,10
1157,26652,11
3646,1618,12
2320,12366,13
62079,20803,14
1505,102375,15
70147,26462,16
64470,70389,17
-1,-1,18
59320,98745,19
91436,62094,20
100854,18795,21
4897,114657,22
107788,16456,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,28
-1,-1,27
-1,-1,29
91700,37010,30
103077,112923,31
85570,59454,33
-1,-1,32
52263,98622,34
41749,113384,35
93789,70801,36
-1,-1,37
-1,-1,38
-1,-1,40
-1,-1,39
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
