attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
1267,3936,0
1155,1066,1
1659,5633,2
-1,-1,3
-1,-1,4
-1,-1,5
1571,4882,6
1084,11849,7
-1,-1,8
-1,-1,9
-1,-1,10
597,12575,11
-1,-1,12
24138,995,13
-1,-1,14
-1,-1,15
1304,15504,16
31280,6939,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
2293,7025,23
490,961,24
879,5649,25
-1,-1,26
814,22897,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
959,1080,32
1059,27846,33
-1,-1,34
1377,25099,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
1548,28673,43
