attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
9514,2346,0
887,4703,1
418,2773,2
867,1627,3
726,1607,4
725,15728,5
757,4725,6
590,3212,7
1757,2840,8
647,10311,9
366,33938,10
1148,15600,11
989,24101,12
1848,7448,13
661,3783,14
533,2732,15
378,4888,16
1048,729,17
1511,4742,18
422,10384,19
742,20849,20
15917,23493,21
1858,25176,22
1567,5728,23
1501,2086,24
1098,2309,25
1285,1033,26
2833,11770,27
818,3860,28
724,14912,29
1172,18054,30
1614,26954,31
700,28521,32
-1,-1,33
1812,2156,35
469,536,36
772,8967,37
703,4616,38
-1,-1,39
548,16767,40
1806,21914,41
585,32606,42
-1,-1,34
1398,27844,43
483,3922,44
