attach,https://www.iotaqubic.us:443 score: 116.48016038740053 scoreNorm: 0.5780840009999745
1209,698,0
784,6437,1
828,721,2
853,932,3
1010,702,4
1198,724,5
759,709,6
1347,701,7
1033,708,8
762,687,9
917,713,10
904,734,11
1194,707,12
840,725,13
1092,706,14
1265,681,15
1600,696,16
740,698,17
2075,726,18
1064,723,19
1328,687,20
2682,704,21
3012,701,22
2221,680,23
2050,703,24
1579,696,25
2001,703,26
2764,716,27
2302,701,28
917,695,29
1146,706,30
1193,698,31
875,717,32
960,692,33
1136,696,34
982,673,35
1219,710,36
999,708,37
882,702,38
1061,701,39
1187,709,40
1336,704,41
996,713,42
1438,718,43
1184,710,44
