attach,https://trinity.iota-tangle.io:14265 score: 123.46035075187683 scoreNorm: 1
421,1326,0
414,276,1
514,368,2
723,1465,3
723,1245,4
1926,1625,5
302,1004,6
425,2636,7
590,341,8
721,759,9
462,2761,10
645,1356,11
2181,790,12
560,1512,13
384,1986,14
519,3931,15
447,934,16
550,3209,17
531,1515,18
362,954,19
672,1952,20
551,2505,21
491,1628,22
650,1014,23
361,1017,24
367,668,25
356,278,26
525,1863,27
450,958,28
949,7782,29
511,407,30
444,978,31
916,2188,32
1045,1576,33
705,375,34
656,2312,35
1026,502,36
384,10100,37
523,796,38
517,169,39
856,1506,40
351,6164,41
404,1998,42
741,877,43
947,3010,44
