attach,9DCLHNBHFAWEBWMDTWHXJDSAAQCQIIKZYPDTYMIXRIQXNCMTCNPGEFPPSMPXYLJUYTT9RFPRXD9CCFQCK https://ultranode.iotatoken.nl:443 score: 0.6492738241866113
6998,0
15716,1
-1,3
-1,2
6995,4
2548,5
3909,6
37673,7
77113,8
82842,9
72482,10
74331,11
-1,13
143565,12
148834,14
-1,15
-1,16
109942,17
111328,18
125235,19
147500,20
-1,21
-1,22
106245,23
116263,24
109911,25
104013,26
44104,27
117631,28
-1,29
-1,30
145195,31
-1,32
-1,33
-1,34
-1,35
-1,36
140229,37
-1,38
133177,40
-1,39
-1,42
128853,41
131681,43
-1,44
