attach,YHDGJUSXHAT9MPCLLXAKATEM9VNPWGPNCJIUUQ9YELYFXFOT9ZEAIPHLHKYPULUOBVYORQYEOKXWDEWMM https://hanspetzersnode.org:14267 score: 0.6227480934919546
12907,0
24502,1
7668,2
4007,3
7939,4
11959,5
10277,6
5808,7
8904,8
16160,9
1859,10
11882,11
10627,12
1255,13
6951,14
40538,15
21592,16
54460,17
125497,18
96900,19
80661,20
72489,21
-1,22
132583,23
114979,24
-1,25
-1,26
100027,27
-1,28
115200,29
-1,30
140257,31
-1,32
-1,33
110546,34
-1,36
90427,35
133393,37
95843,38
121591,39
112094,40
-1,41
132764,42
