attach,SWUTDHSAJABWHTNHGCKCBMPJYPWTWGYYRTIYHBHQKVMJKOIZ9FLTHNMCZEZIFKHAQSXFVDXUHWCWXYNZZ https://wallet2.iota.town:443 score: 0.4167671498910872
3769,0
10685,1
15629,2
13611,3
12297,4
12256,5
-1,6
39539,7
38011,8
49121,9
69685,10
77799,11
79571,12
95582,13
112260,14
105318,15
-1,17
-1,16
114735,18
114056,19
133666,20
114374,21
-1,22
-1,23
113313,24
-1,25
-1,27
103375,26
54405,28
99656,29
-1,30
150656,31
-1,32
-1,34
-1,33
143436,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,41
154667,42
132509,43
111642,44
