attach,SZNYJNA9ITBA9SZ9HFGZLFXFXPYWCNPKQPOXA9WSTXMETPEWXIWAN9YKLVJKFDUDBXT9C9AI9JBTOYISC https://nodes.thetangle.org:443 score: 0.8727066322883765
8868,0
9604,1
18674,2
25826,3
24213,4
4713,5
21771,6
9237,7
6240,8
5672,9
28359,10
6300,11
18578,12
2191,13
40502,14
15454,15
3443,16
15929,17
9149,18
3545,19
1984,20
26670,21
12020,22
27605,23
20498,24
7920,25
10331,26
6995,27
14111,28
8599,29
3314,30
3930,31
1550,32
19717,33
15959,34
33350,35
6747,36
5743,37
10038,38
7323,39
20787,40
6029,41
5891,42
5372,43
11464,44
