attach,HWILZPMEQPLSTXEYPCO9OXSHABEKVBCADKERMSGCZAXZWOTWQXINULYTINHSRJOZM9AIQTUD9AUWVCLRV https://wallet2.iota.town:443 score: 0.7388092721896969
9318,0
3673,1
7214,2
7385,3
9056,4
8101,5
9760,6
3749,7
2477,8
29598,9
14832,10
2694,11
11298,12
7519,13
13556,14
2095,15
4770,16
18248,17
8882,18
6675,19
7100,20
15528,21
2589,22
6478,23
6470,24
1494,25
9364,26
14177,27
9743,28
42249,29
2220,30
10770,31
3681,32
26742,33
6152,34
10287,35
25111,36
10708,37
6723,38
62045,39
21636,40
4257,41
8711,42
17384,43
14970,44
