attach,9RLEBNEJFYPNHD9NENWLDFHBLJKZRPCPUPAHGPBNVLMKJVOXJFRFJQCXIBOJ9OHCFCJQDJUYTBRIFUIGV https://node01.gubiota.ch:443 score: 0.37133796515914436
7995,0
15951,1
12790,2
28384,3
23153,5
56236,4
11946,6
15372,7
19847,8
29226,9
5612,10
22969,11
23350,12
21279,13
13371,14
33727,15
6769,16
2757,17
43787,18
6364,19
1557,21
82007,20
41408,22
18436,23
9365,24
7869,25
10442,26
3388,27
20543,28
22614,29
13638,30
27847,31
10937,32
5055,33
4439,35
68938,34
57919,36
14053,37
4307,38
12647,39
5842,40
14848,41
28521,42
6164,43
3451,44
