attach,HQYBZSSOWXSZRHLBYLHXHFHLAFJQMOZVMGLBAUMKIISVUXCLCX9MBQNTVFXUXDBYDG9BWIOWEJETTULII https://node-iota.org:14267 score: 0.4379290692289766
6247,1
28153,0
6202,2
7231,3
8783,4
-1,5
3001,6
4475,7
7335,8
21432,9
16119,10
2564,11
35370,12
3749,13
12059,14
18457,15
13422,16
15544,17
32269,18
35747,19
4023,20
16406,21
7166,22
51690,23
25263,24
43192,25
10241,26
15166,27
43132,28
17790,29
47721,30
34803,31
20972,32
8421,33
23650,34
6463,35
67113,36
42989,37
4534,38
6093,39
24780,40
12334,41
7151,42
16761,43
3639,44
