attach,KSNQIFQEPRN99NCQVZWZEYDUZJYPYBTRGKHJIFTHKXDVV9FXAQCTTWUROFNNYFGZ9SDRYBUOZNDGKIMPM https://dyn.tangle-nodes.com:443 score: 0.7212934893804278
7035,0
7977,1
15805,2
17193,3
18093,4
8283,5
6816,6
8124,7
-1,8
14896,9
19084,10
-1,11
-1,12
19768,13
-1,14
-1,15
18287,16
57825,17
25381,18
16896,19
19574,20
41518,21
-1,22
11685,23
28135,24
35260,25
-1,26
27068,27
7156,28
11031,29
20139,30
50697,31
8065,32
4904,33
18860,34
7513,35
18574,36
36725,37
17358,38
-1,39
-1,40
3005,41
3774,42
24768,43
6444,44
