attach,DUQW9QVUT9RZ9GQPWEPUZCZEFCQIQIMFEMWLADHDU9HRSTEQFQAFKBFYQEEXBZBDQKUUKJOWUBFRW9BCJ https://iota.chain.garden:443 score: 0.02927771607136354
9415,0
31964,1
6380,2
22275,3
10628,4
12861,5
20721,6
-1,7
45014,8
6804,9
-1,10
28187,11
26417,12
18208,13
-1,14
20435,15
43075,16
49315,17
37719,18
36672,19
9703,21
-1,20
-1,22
24408,23
-1,24
35474,25
46910,26
18062,27
3907,28
12524,29
36196,30
6722,31
17525,32
12686,33
12392,34
-1,35
16144,36
-1,37
-1,38
40378,39
14911,40
15987,41
28557,42
4676,43
19275,44
