attach,CEPLLKKZRBPVWCGLPBODGLXPHHKWKWJKJZBJKAJLTWNP9RINYIKERXAPSNZSBEC9BMGADJLNUXIWFDUSY https://node.vanityfive.de:443 score: 0.02867392603509237
25739,0
2588,1
9877,2
5359,4
28136,3
5880,5
3068,6
39017,7
16120,8
8760,9
6211,10
3704,11
10488,12
16957,13
17041,14
2207,15
12262,16
59352,17
13434,18
34577,19
13735,20
-1,21
15977,22
-1,23
27168,24
12507,25
59383,26
25817,27
14164,28
-1,29
18273,30
-1,31
51128,32
19103,33
17031,34
12074,35
22086,36
7956,37
2581,38
10648,39
3329,40
7086,41
1342,42
-1,43
18582,44
