attach,WGSSZDIDHKHMPAJAQHDHSVFMPFLNPVUBKGFEFSADBXZMYIXN9EGPJPHIVAIY9RJMIIVLXUYOFTCANRCRW https://v22017125353157610.bestsrv.de:14267 score: 0.12930890448562846
-1,1
-1,3
-1,5
-1,0
360831,2
-1,7
-1,9
-1,10
365827,4
365602,6
350704,8
143201,12
-1,13
-1,15
-1,16
-1,17
265734,11
-1,20
-1,21
425582,14
-1,23
338609,18
-1,24
400794,19
318776,22
-1,29
-1,30
-1,31
346629,25
309498,26
290534,27
-1,32
-1,28
-1,35
-1,36
260050,33
-1,39
416203,34
-1,40
151954,41
468508,37
458755,38
188650,42
442194,43
419276,44
