attach,http://5.189.141.225:14265 score: 4.126638580037055 scoreNorm: 0.048161760903811135
13774,0
43345,1
129220,2
32188,3
8606,4
112236,5
82536,6
34536,7
27667,8
28184,9
32673,10
31110,11
13397,12
65927,13
22759,15
95235,14
29987,16
17621,17
24819,18
35374,19
65313,20
54610,21
70433,22
61295,23
97559,25
171180,24
120725,26
128582,28
232855,27
161393,29
270182,30
342311,31
326119,33
387406,34
377197,35
474619,36
565934,37
614374,38
994174,32
590455,39
581292,40
566150,41
572569,42
634585,43
672278,44
