attach,http://me2byme2.com:14265 score: 11.847591319975162 scoreNorm: 0.10644246142434868
787495,0
946313,1
1241569,2
1229484,3
1208314,4
1438544,5
1436218,6
566680,15
1471230,7
1486823,8
1386230,9
1368590,10
1378219,11
1352042,12
1418945,13
1289318,16
1386567,14
1245440,17
1193972,18
1181963,19
1183743,20
1215218,21
1171253,22
1159145,23
1137872,24
1117303,25
1167849,26
1193412,27
1267371,28
1224332,29
1217748,30
1238457,31
1251591,32
1485890,33
1512491,34
1467818,35
1421420,36
1447710,37
1499578,38
1458654,39
1476808,40
1395768,41
1456118,42
1417553,43
1416362,44
