attach,https://django.zapto.org:14267 score: 4.7555199523365825 scoreNorm: 0.0205570243685175
1621,77,0
622,77,1
16786,197,2
433,76,3
1025,83,4
986,93,5
1106,104,6
861,64,7
1032,64,8
22330,95,9
46846,95,10
2207,95,11
625,65,12
1168,98,13
1441,95,14
760,84,15
478,64,16
1100,85,17
1179,64,18
738,84,19
506,85,20
488,65,21
1167,98,22
5975,83,23
955,96,24
23898,83,25
8149,64,26
997,99,27
796,64,28
57559,77,29
17962,83,30
411,95,31
27687,469,33
87284,17882,32
8557,76,34
630,79,35
1113,77,36
713,76,37
1142,63,38
939,65,39
712,97,40
754,97,41
862,84,42
620,84,43
770,83,44
