attach,https://wallet1.iota.town:443 score: 137.15652709007264 scoreNorm: 0.5928962758964985
1279,68,0
683,47,1
718,60,2
498,60,3
8397,358,4
814,72,5
23728,6627,6
13258,598,7
11755,9416,8
3782,1239,9
11862,4174,10
3282,861,11
1126,79,12
2751,537,13
59600,694,14
68239,10600,15
2588,74587,16
48875,31472,17
4763,56809,19
38067,58843,18
38606,16680,20
51043,3833,21
26879,9237,22
12351,2430,23
535,45,24
5252,388,25
830,42,26
4892,732,27
1737,53,28
1180,46,29
835,46,30
8884,11634,31
1161,40,32
9799,8629,33
368,53,34
634,29,35
54002,33987,36
45012,10098,37
98917,73467,38
147724,12221,39
132298,32842,40
1917,50,41
764,676,42
596,36,43
829,43,44
