attach,https://node-iota.org:14267 score: 81.3215598128736 scoreNorm: 0.3515344911838098
3888,83,0
2896,72,1
636,56,2
3955,68,3
3907,72,4
460,80,5
880,51,6
9227,72,7
614,79,8
675,62,9
709,89,10
411,68,11
441,69,12
696,71,13
662,78,14
938,31839,15
47471,305,16
14114,72,17
423,53,18
912,55,19
3395,1987,20
1411,68,21
30092,20492,22
4026,11559,23
17194,2038,24
21539,923,25
668,48,26
519,71,27
1045,39,28
640,55,29
570,53,30
7680,63,31
697,55,32
5950,25689,33
544,45,34
617,43,35
537,30,36
764,45,37
754,29,38
3207,67,39
9510,23202,40
3268,26024,41
2819,11306,42
4791,667,43
2671,19,44
