attach,http://167.86.108.113:14265 score: 0 scoreNorm: 0
1266,30,0
1346,38,1
1611,32,2
3072,41,3
1911,31,4
1291,37,5
1397,27,6
1340,26,7
4559,42,8
1534,47,9
1419,44,10
1354,43,11
1300,31,12
1318,24,13
1667,37,14
1394,31,15
3661,47,16
1687,6433,17
2675,4244,18
4717,37,19
1633,36,20
1432,42,21
1535,25,22
1679,35,23
1422,27,24
1399,20,25
1781,40,26
23961,35,27
1655,22,28
1640,38,29
1718,36,30
1717,18,31
4394,45,32
1621,39,33
2302,32,34
1460,68,35
1816,57,36
1644,37,37
1450,22,38
1776,26,39
1819,44,40
1851,22,41
2137,36,42
1660,34,43
1550,39,44
