attach,https://nodes.tangled.it:443 score: 23.33497669499708 scoreNorm: 0.09891019466267104
27847,10345,0
6963,19655,1
5237,4860,2
10898,94,3
373,82,4
387,67,5
373,75,6
6282,63,7
5837,83,8
286,76,9
4981,164,10
429,87,11
494,56,12
12689,87,13
286,83,14
443,69,15
4363,39906,16
254,68,17
319,82,18
11386,1359,19
514,56,20
382,95,21
355,83,22
388,82,23
9497,1384,24
780,57,25
16900,1458,26
671,82,27
487,95,28
9382,472,29
731,75,30
294,56,31
482,82,32
312,63,33
374,75,34
312,95,35
409,83,36
19976,247,37
2853,485,38
324,432,39
301,82,40
333,76,41
673,7166,42
277,2399,43
12525,124,44
