attach,http://iota-fn01.sairai.de:14265 score: 7.943485611989313 scoreNorm: 0.03417846760187272
4607,39,0
1468,33,1
947,33,2
1459,35,3
1002,39,4
694,133,5
984,41,6
915,37,7
769,23,8
719,31,9
900,42,10
694,30,11
1075,35,12
1288,34,13
2008,22,14
1538,36,15
1132,36,16
1638,28,17
1476,44,18
1590,32,19
1565,45,20
648,53,21
1011,28,22
1597,42,23
1348,45,24
919,50,25
612,44,26
1424,50,27
995,31,28
580,31,29
1293,38,30
1678,39,31
798,45,32
788,41,33
574,39,34
850,41,35
1054,53,36
966,54,37
928,43,38
1253,55,39
766,35,40
1525,56,41
790,36,42
609,43,43
576,50,44
