attach,https://node.vanityfive.de:443 score: 6.2588799731936176 scoreNorm: 0.0269301081209154
2597,45,0
495,63,1
503,74,2
534,59,3
348,68,4
581,64,5
484,62,6
715,90,7
837,67,8
492,60,9
686,67,10
413,69,11
733,80,12
443,80,13
672,80,14
738,65,15
333,80,16
800,69,17
775,61,18
772,80,19
474,80,20
897,69,21
650,85,22
671,85,23
996,64,24
576,52,25
744,76,26
323,73,27
592,68,28
806,75,29
805,90,30
520,78,31
398,71,32
248,57,33
289,72,34
722,71,35
641,60,36
510,60,37
547,89,38
424,61,39
765,58,40
494,58,41
566,80,42
766,74,43
338,60,44
