attach,https://node00.gubiota.ch:443 score: 5.360235591636826 scoreNorm: 0.023063507313546172
700,75,0
303,57,1
1173,65,2
1418,52,3
1140,76,4
909,100,5
549,79,6
1280,142,7
662,96,8
619,85,9
432,71,10
903,85,11
750,67,12
1018,97,13
697,53,14
563,69,15
1014,55,16
1053,89,17
759,63,18
984,57,19
922,65,20
1047,68,21
729,70,22
1037,67,23
1036,58,24
25950,97,25
932,56,26
1332,66,27
305,79,28
1150,89,29
545,103,30
599,61,31
635,74,32
656,92,33
780,87,34
995,134,35
627,92,36
518,104,37
677,71,38
766,69,39
783,71,40
874,106,41
960,88,42
1005,92,43
833,65,44
