attach,https://v22017125353157610.bestsrv.de:14267 score: 12.900064552718405 scoreNorm: 0.05550515981443763
3857,109,0
73491,44,1
402,55,2
563,45,3
632,79,4
507,65,5
526,63,6
759,78,7
764,59,8
1401,80,9
818,47,10
524,82,11
784,46,12
665,60,13
537,47,14
-1,-1,15
-1,-1,16
12751,54,17
3008,76,18
1256,67,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
777,64,24
1302,84,25
1511,87,26
2163,53,27
2468,86,28
13111,81,29
1005,68,30
1329,85,31
1723,71,32
617,59,33
662,75,34
1477,91,35
573,79,36
700,77,37
862,91,38
1205,72,39
1468,73,40
572,89,41
559,59,42
842,92,43
1119,91,44
