attach,http://89.163.242.213:14265 score: 238.68939328342015 scoreNorm: 1
2124,322,0
2189,6354,1
553,64,2
598,58,3
193,64,4
403,65,5
5761,1727,6
389,4678,7
461,848,8
39434,23171,10
78160,76383,9
79502,12744,11
48260,13345,12
22652,3465,13
427,70,14
6509,4986,15
3183,16301,16
10611,5498,17
614,58,18
580,57,19
452,64,20
875,8578,21
6887,31884,22
615,51,23
10784,406,24
1510,51,25
19039,9420,26
6629,234,27
720,64,28
526,1002,29
1304,51,30
499,64,31
3118,50,32
1012,70,33
2413,51,34
2933,4083,35
2557,72,36
705,70,37
10231,4974,38
1031,58,39
1241,51,40
892,52,41
723,64,42
