attach,https://pow.iota.community:443 score: 55.63342906534672 scoreNorm: 0.25000265647642894
2498,144,0
969,250,1
979,248,2
897,263,3
1289,254,4
971,273,5
6923,232,6
863,237,7
1554,253,8
1254,236,9
3746,256,10
848,231,11
791,135,12
8444,340,13
4418,364,14
29760,222,15
1002,245,16
1142,246,17
6601,279,18
934,253,19
3242,319,20
743,236,21
1000,245,22
2328,221,23
1557,246,24
14601,258,25
1066,343,26
23947,283,27
937,268,28
922,260,29
880,149,30
16160,267,31
669,233,32
791,252,33
1044,218,34
2450,355,35
7933,273,36
664,227,37
549,224,38
740,124,39
4881,390,40
17266,202,41
25002,239,42
12423,814,43
816,222,44
