attach,https://ultranode.iotatoken.nl:443 score: 239.0575593600803 scoreNorm: 0.9958499164950856
5862,2714,0
1359,86,1
492,99,2
2333,99,3
1497,786,4
2600,1026,5
6991,17743,6
10924,100,7
647,119,8
1216,9065,9
477,86,10
6950,5539,11
601,86,12
563,99,13
989,86,14
618,99,15
1081,1636,16
17279,3917,17
5087,4118,18
608,106,19
497,118,20
777,118,21
1372,99,22
383,86,23
5328,11518,24
872,86,25
2045,9375,26
718,119,27
500,86,28
501,98,29
24038,3867,30
602,98,31
557,86,32
4379,87,33
659,118,34
504,85,35
525,117,36
878,104,37
1007,85,38
1238,84,39
1709,101,40
612,103,41
429,104,42
698,98,43
