attach,https://perma.iota.partners:443 score: 12.937645492553711 scoreNorm: 0.05389477420371463
855,137,0
1053,154,1
9353,141,2
1014,37,3
1157,50,4
1382,106,5
576,41,6
1103,60,7
665,1949,8
685,116,9
534,112,10
549,117,11
354,45,12
735,157,13
603,38,14
458,36,15
1979,52,16
395,113,17
734,117,18
1046,37,19
817,144,20
619,160,21
942,42,22
903,44,23
644,44,24
624,47,25
781,88,26
852,41,27
542,165,28
471,30,29
580,36,30
565,44,31
1487,162,32
834,43,33
669,134,34
448,47,35
680,45,36
338,43,37
802,137,38
386,38,39
312,300,40
783,35,41
790,135,42
602,40,43
626,134,44
