attach,https://www.iotaqubic.us:443 score: 15.05381941030129 scoreNorm: 0.06283038919013091
1208,712,0
1148,724,1
969,698,2
897,731,3
1056,694,4
1087,706,5
1143,689,6
786,692,7
801,705,8
983,689,9
977,674,10
870,683,11
986,694,12
1156,676,13
753,697,14
1208,692,15
1202,689,16
750,693,17
793,697,18
880,689,19
966,689,20
1179,701,21
1347,701,22
906,692,23
891,729,24
897,684,25
965,692,26
747,678,27
790,694,28
870,694,29
956,697,30
1059,684,31
946,684,32
941,698,33
928,692,34
966,696,35
972,783,36
1062,691,37
1047,734,38
1124,694,39
1827,717,40
1137,697,41
727,695,42
842,701,43
838,910,44
