attach,http://node06.iotatoken.nl:14265 score: 58.06638391113282 scoreNorm: 0.2578499607368969
579,79,0
616,57,1
285,58,2
302,60,3
763,60,4
464,60,5
509,61,6
275,61,7
1017,62,8
5032,65,9
870,62,10
421,60,11
813,63,12
613,61,13
520,63,14
539,62,15
467,62,16
550,61,17
373,62,18
336,62,19
974,61,20
693,60,21
638,63,22
678,61,23
6930,93,24
10590,60,25
661,60,26
698,63,27
610,60,28
894,61,29
927,60,30
890,63,31
567,60,32
894,64,33
929,62,34
884,64,35
849,64,36
642,64,37
380,67,38
335,68,39
309,66,40
301,67,41
798,70,42
458,69,43
327,70,44
