attach,http://me2byme2.com:14265 score: 6.192373086989814 scoreNorm: 0.027747563425382375
6654,24,0
11389,15579,1
15040,36,2
26944,26,3
766,20,4
777,20,5
1232,25,6
85938,98726,8
278504,80108,9
1646,371621,10
151513,372349,7
289753,47939,11
218770,60947,12
158148,72165,13
58372,119304,14
117655,12316,15
37468,36257,16
425,21,17
44188,232130,18
14668,332041,19
316705,5573,20
233454,38011,21
197119,64566,22
178487,6102,23
31051,114058,24
85022,29536,25
113056,70877,26
159878,150924,28
3511,357955,29
180658,291927,30
100570,339816,31
7071,444657,32
307229,473378,27
421714,33340,33
215647,516534,34
5139,606666,35
575201,156471,36
544659,194101,37
196065,661492,38
890963,44035,40
741121,211974,41
532629,478677,42
973439,444547,39
