attach,http://mandelhost.de:14265 score: 48.58481529235839 scoreNorm: 0.2129161795491655
1722,70,0
2151,1923,1
1407,28,2
775,34,3
340,47,4
4773,35,5
518,43,6
2671,660,7
1229,32441,8
524,41,9
782,32,10
1418,42,11
28259,20945,12
29417,8786,13
10012,1517,14
28143,8800,15
6460,22383,16
690,81,17
4125,18138,19
38729,17825,18
18452,36431,21
63587,56572,20
1439,76931,22
1025,64362,23
21167,172457,24
50239,160878,25
81031,112714,26
1948,175349,27
58648,101598,28
91880,93701,29
50251,101611,30
51704,85216,31
15265,158070,32
132973,27207,33
49742,60645,34
56015,43423,35
31643,45676,36
54211,57534,37
42375,53760,38
39038,53486,39
23807,118427,40
17896,51,41
6629,53,42
655,58,43
1037,59,44
