attach,https://nod3.theshock.de:443 score: 37.40092407166958 scoreNorm: 0.15630795246029427
617,54,0
617,35,1
857,57,2
591,46,3
865,28,4
446,61,5
774,49,6
524,62,7
526,35,8
537,69,9
941,48,10
1021,69,11
409,50,12
748,75,13
743,56,14
460,38,15
340,56,16
255,60,17
979,49,18
593,69,19
542,39,20
454,57,21
385,55,22
701,50,23
414,41,24
452,50,25
3237,71,26
558,41,27
595,69,28
899,43,29
335,60,30
1206,72,31
403,40,32
452,54,33
403,73,34
631,72,35
624,60,36
422,62,37
548,41,38
741,57,39
666,75,40
456,58,41
425,65,42
604,77,43
715,65,44
