attach,https://papa.iota.family:14267 score: 9.120549751158297 scoreNorm: 0.038117091817944496
446,85,0
491,61,1
723,89,2
408,82,3
939,82,4
712,93,5
499,91,6
957,85,7
910,77,8
733,64,9
589,68,10
1173,95,11
964,111,12
890,73,13
497,10721,14
522,67,15
593,130,16
405,110,17
332,84,18
783,105,19
905,84,20
480,126,21
542,107,22
490,83,23
11103,115,24
513,94,25
681,104,26
421,84,27
583,99,28
484,73,29
747,121,30
5781,75,31
766,58,32
739,94,33
878,98,34
4999,99,35
615,35067,36
624,99,37
750,82,38
784,99,39
448,96,40
5026,121,41
477,112,42
703,102,43
473,110,44
