attach,https://iota.chain.garden:443 score: 3.9467126926192226 scoreNorm: 0.01753956264951498
1340,165,0
16123,146,1
1230,159,2
1258,177,3
1291,140,4
1329,131,5
840,161,6
1331,428,7
781,8071,8
1444,137,9
2456,134,10
902,239,11
714,138,12
770,133,13
909,372,14
596,167,15
623,139,16
583,161,17
594,138,18
1227,132,19
1457,132,20
1418,146,21
1262,135,22
1097,152,23
743,152,24
927,171,25
1656,165,26
1606,166,27
1128,160,28
679,149,29
1401,163,30
1251,154,31
892,164,32
1068,143,33
939,161,34
1578,151,35
1176,170,36
8777,173,37
1409,141,38
1133,153,39
2953,153,40
667,170,41
464,156,42
1066,154,43
1053,168,44
