attach,https://hanspetzersnode.org:14267 score: 85.22088497132063 scoreNorm: 0.4352973917597326
1021,76,0
283,93,1
396,78,2
19589,71,3
495,56,4
278,94,5
5484,76,6
494,73,7
11351,85,8
744,64,9
2740,511,10
778,79,11
605,68,12
618,68,13
804,60,14
559,79,15
1942,46,16
710,70,17
805,73,18
975,77,19
581,76,20
1847,65,21
425,76,22
590,76,23
635,45,24
554,61,25
547,65,26
403,75,27
855,73,28
882,56,29
4773,65,30
327,45,31
650,78,32
391,58,33
262,73,34
2249,58,35
531,75,36
310,58,37
945,79,38
717,58,39
582,45,40
559,58,41
319,65,42
369,79,43
37087,88,44
