attach,https://dyn.tangle-nodes.com:443 score: 6.96699028853811 scoreNorm: 0.030012885475958196
1540,202,0
-1,-1,1
1216,258,2
651,463,3
1071,212,4
-1,-1,5
14662,236,6
2000,339,7
1202,351,8
-1,-1,9
1224,554,10
1039,303,11
1351,565,12
514,172,13
917,822,14
994,19744,15
1269,1109,16
1456,1056,17
-1,-1,18
924,764,19
653,819,20
-1,-1,21
596,231,22
984,139,23
1235,236,24
985,226,25
831,17479,26
832,824,27
862,709,28
1251,245,29
1771,5111,30
909,261,31
-1,-1,32
1069,6051,33
1222,212,34
12660,623,35
24835,285,36
1073,1120,37
819,13085,38
1191,274,39
682,789,40
-1,-1,41
4214,199,42
2160,233,43
862,833,44
