attach,https://iotanode.world:14267 score: 44.69999070402295 scoreNorm: 0.19017188814706684
884,76,0
556,59,1
623,79,2
2999,38,3
914,98,4
913,65,5
517,59,6
1573,49,7
1564,48,8
1759,55,9
893,76,10
3799,45,11
1700,77,12
857,61,13
1105,33,14
2071,69,15
2012,35,16
1389,39,17
1266,52,18
3593,70,19
1058,71,20
1523,61,21
3345,61,22
1016,59,23
1276,49,24
1550,63,25
1316,74,26
782,76,27
4367,47,28
787,70,29
1357,45,30
1287,75,31
1062,42,32
1127,80,33
6224,45,34
590,78,35
1323,44,36
1389,78,37
587,76,38
1181,56,39
1489,135,40
2981,223,41
1213,79,42
31198,67,43
815,67,44
