attach,http://207.180.224.65:14265 score: 37.176719859919764 scoreNorm: 0.15816484297924496
613,42,0
3913,37,1
1119,36,2
2500,425,3
696,48,4
1271,27,5
29613,1176,6
2649,1898,7
407,26,8
2176,39,9
3987,125,10
7970,478,11
717,43,12
12298,22,13
1225,37,14
24677,696,15
13996,28,16
546,55,17
7672,33,18
20069,798,19
42223,32,20
1066,2489,21
4454,32,22
910,30,23
826,51,24
589,33,25
1372,32,26
785,59,27
501,38,28
470,10396,29
1692,46,30
958,38,31
44401,16256,32
17413,10836,33
8185,15346,34
1027,60,35
610,45,36
69885,332,37
7550,29887,38
933,28914,39
39694,40,40
19023,503,41
1803,46,42
1189,41,43
760,55,44
