attach,https://node02.gubiota.ch:443 score: 40.23755051563931 scoreNorm: 0.17902522791903933
10021,76324,0
41628,60930,1
-1,-1,3
-1,-1,4
65490,98016,2
37903,63486,5
66274,11346,6
2946,26035,7
5361,717,8
1835,94097,9
51181,76815,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
90475,22941,19
29056,32756,20
-1,-1,21
93495,34882,22
95423,56690,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
62668,64767,29
90738,7972,30
81365,6007,31
57937,59704,32
51031,17580,33
-1,-1,34
93364,62113,35
-1,-1,36
-1,-1,37
-1,-1,38
116923,34938,39
96866,1074,40
66303,3604,41
4197,20003,42
556,80,43
27316,7612,44
