attach,http://mandelhost.de:14265 score: 65.01199127197265 scoreNorm: 0.28925186562765043
887,37,0
1943,31,1
893,24,2
545,25,3
1258,33,4
639,51,5
1008,37,6
897,50,7
9903,38,8
65652,615,9
29879,12922,10
10737,27,11
20795,15032,12
1867,33,13
6325,17833,14
1288,38,15
1343,854,16
10006,40947,17
15440,32026,18
13450,44110,19
30820,28375,20
59393,13666,21
61400,813,23
30989,12208,24
97356,40265,22
6478,41,25
36160,239,26
12429,44,27
4065,1574,28
1236,35,29
8631,42,30
21577,21083,31
8474,22834,32
13151,50135,33
3224,45,34
32335,460,35
9993,44289,36
17017,6527,37
14617,27613,38
25451,13539,39
9061,51565,40
9149,29,41
10557,43250,42
11970,8078,43
1255,47,44
