attach,https://wallet1.iota.town:443 score: 137.15652709007264 scoreNorm: 0.5928962758964985
1804,774,0
641,533,1
803,53,2
21178,3716,3
9376,683,4
12006,19239,5
4675,24846,6
3348,26104,7
903,60,8
20383,3974,9
8611,907,10
3374,2080,11
27658,866,12
55965,24948,13
76778,7323,14
16441,94199,15
57065,501,16
8900,30891,17
12975,37130,19
82299,49522,18
42505,18546,20
24679,11445,21
10484,5648,22
554,55,23
4430,83,24
40096,7043,25
971,3404,26
1061,453,27
737,464,28
973,60,29
782,14972,30
20930,17616,31
8002,11985,32
6407,21198,33
37958,66829,34
19170,59059,35
90229,76908,36
126832,35991,37
58855,99722,38
85075,17054,39
45944,8627,40
3344,5997,41
1653,650,42
18150,62,43
707,89,44
