attach,https://dyn.tangle-nodes.com:443 score: 137.14428634643554 scoreNorm: 0.5928433619632675
3369,220,0
-1,-1,1
4142,219,2
876,1086,3
2810,222,4
-1,-1,5
-1,-1,6
1116,815,7
1092,224,8
470,206,9
1342,154,10
3450,206,11
2347,250,12
623,209,13
-1,-1,14
-1,-1,15
-1,-1,16
828,187,17
-1,-1,18
2886,558,19
10086,293,20
1402,179,21
917,322,22
13106,187,23
2382,191,24
-1,-1,25
-1,-1,26
14385,1055,27
-1,-1,28
2405,268,29
1109,251,30
-1,-1,31
-1,-1,32
-1,-1,33
1827,799,34
1318,192,35
788,546,36
-1,-1,37
1455,2331,38
-1,-1,39
1699,10303,40
-1,-1,41
4915,1102,42
1165,29308,43
-1,-1,44
