attach,https://pow.iota.community:443 score: 49.41858124732971 scoreNorm: 0.21488973818414234
975,243,0
1229,216,1
964,227,2
6724,219,3
907,199,4
6293,245,5
798,215,6
56455,797,7
17079,198,8
1265,1436,9
5080,205,10
1089,216,11
23279,4389,12
628,243,13
1032,228,14
887,235,15
5966,215,16
654,217,17
949,224,18
965,233,19
21798,215,20
17080,211,21
844,240,22
767,136,23
548,237,24
13917,221,25
927,196,26
1395,233,27
881,96,28
1495,3846,29
1514,212,30
874,201,31
15760,559,32
25289,204,33
12411,267,34
20811,220,35
4772,293,36
11864,230,37
920,280,38
1705,213,39
609,209,40
9049,228,41
1114,231,42
799,242,43
990,270,44
