attach,https://perma.iota.partners:443 score: 56.91203122138977 scoreNorm: 0.24747394967663114
1978,132,0
887,143,1
662,129,2
755,133,3
970,104,4
1056,110,5
1213,141,6
756,134,7
581,172,8
688,44,9
744,159,10
401,41,11
950,37,12
743,112,13
752,151,14
308,146,15
1097,27,16
548,37,17
791,107,18
314,106,19
963,141,20
1731,43,21
926,30,22
487,36,23
979,116,24
612,40,25
726,129,26
1065,150,27
1422,111,28
936,135,29
928,31,30
797,109,31
387,108,32
661,31,33
816,141,34
692,33,35
586,123,36
552,112,37
687,139,38
790,59,39
823,103,40
996,132,41
466,146,42
669,112,43
670,37,44
