attach,https://node-iota.org:14267 score: 52.47880360254875 scoreNorm: 0.22400186438448447
1101,80,0
621,61,1
18939,73,2
799,77,3
22706,3131,4
605,61,5
1116,98,6
11152,48,7
13503,357,8
12561,90,9
624,68,10
14522,49,11
956,56,12
685,80,13
734,61,14
1507,73,15
1170,68,16
7096,57,17
454,61,18
22189,26305,19
6904,72,20
38011,60424,21
38327,16173,22
15746,5569,23
19387,60,24
603,69,25
581,90,26
422,68,27
788,66,28
588,68,29
-1,-1,30
-1,-1,31
12699,52,32
5571,87,33
688,93,34
847,69,35
702,92,36
1158,62,37
1075,83,38
662,85,39
6551,93,40
3140,76,41
621,66,42
462,78,43
1105,87,44
