attach,https://ultranode.iotatoken.nl:443 score: 190.94632889811197 scoreNorm: 0.9975742448904276
1433,119,0
448,99,1
472,101,2
1423,2937,3
11950,8403,4
860,129,5
472,99,6
670,118,7
681,118,8
1461,119,9
2432,156,10
613,87,11
1792,1098,12
1497,119,13
1176,106,14
1426,1283,15
4734,100,16
8040,489,17
1868,99,18
1138,87,19
629,6232,20
7613,13214,21
1684,118,22
2429,545,23
905,118,24
464,87,25
4667,1446,26
856,87,27
394,99,28
658,99,29
1297,150,30
396,87,31
3134,1927,32
5551,9711,33
351,98,34
471,99,35
2723,86,36
1964,87,37
1815,973,38
670,118,39
788,155,40
556,99,41
543,118,42
