attach,https://iotanode.world:14267 score: 42.230036672685074 scoreNorm: 0.21906502403013398
1480,74,0
759,57,1
770,55,2
4418,57,3
1204,45,4
1672,67,5
1424,55,6
1500,851,7
1364,7425,8
762,71,9
1460,50,10
3068,44,11
1682,460,12
1531,28774,13
832,87,14
736,74,15
4965,58,16
6602,55,17
1053,65,18
15931,58,19
1289,56,20
5337,901,21
10690,69,22
26063,65,23
854,72,24
7714,72,25
1380,68,26
1000,64,27
1583,72,28
798,68,29
2291,67,30
980,46,31
17456,9876,32
1021,10154,33
812,14676,34
4119,65,35
1035,65,36
1031,66,37
800,68,38
1113,46,39
6439,88,40
2427,18970,41
6403,88,42
5925,816,43
801,55,44
