attach,https://ultranode.iotatoken.nl:443 score: 192.7739805094401 scoreNorm: 1
1000,86,0
698,99,1
12415,98,2
1083,104,3
771,98,4
632,85,5
2982,13241,6
831,117,7
548,201,8
513,84,9
350,83,10
970,85,11
477,85,12
424,103,13
628,97,14
934,2614,15
1162,115,16
764,84,17
619,97,18
1116,118,19
908,84,20
825,97,21
750,84,22
855,104,23
2427,10343,24
532,83,25
620,115,26
511,83,27
456,84,28
2975,3220,29
11380,3487,30
474,115,31
791,102,32
760,115,33
20865,8918,34
721,102,35
5302,3635,36
12175,1257,37
588,95,38
21855,3398,39
2815,83,40
3679,101,41
5404,2180,42
2062,3997,43
15447,3864,44
