attach,https://www.iotaqubic.us:443 score: 16.725479308429044 scoreNorm: 0.12960790046429163
2123,746,0
805,733,1
901,718,2
1087,730,3
884,711,4
1129,717,5
1079,715,6
956,718,7
951,734,8
1203,713,9
1322,717,10
1297,717,11
795,718,12
953,720,13
1213,709,14
832,716,15
1012,712,16
930,705,17
930,716,18
878,719,19
830,707,20
668,885,21
1071,710,22
2579,729,23
846,717,24
1021,723,25
1231,711,26
940,727,27
2538,719,28
955,720,29
1400,719,30
1154,706,31
1313,721,32
879,710,33
955,719,34
950,722,35
2017,711,36
759,709,37
1079,711,38
747,714,39
1028,721,40
837,715,41
922,705,42
1008,712,43
760,706,44
