attach,http://207.180.224.65:14265 score: 54.66363868930123 scoreNorm: 0.4235955999591861
3972,44,0
7539,48,1
660,47,2
44030,43,3
8897,34,4
734,46,5
9502,46,6
5409,47,7
1666,43,8
454,47,9
852,32,10
1228,40,11
7709,57,12
632,37,13
302,53,14
932,52,15
886,42,16
32329,26,17
1048,34,18
472,54,19
20516,588,20
1237,38,21
565,58,22
27847,1561,23
990,38,24
886,41,25
422,48,26
1516,42,27
5418,36,28
839,51,29
699,31,30
5198,867,31
1300,49,32
667,37,33
1480,55,34
563,30,35
31214,43,36
503,47,37
533,57,38
21367,56,39
2457,39,40
834,51,41
1896,52,42
466,50,43
772,41,44
