attach,https://nod3.theshock.de:443 score: 36.93209758400917 scoreNorm: 0.2861915966254817
649,62,0
627,44,1
334,44,2
530,94,3
658,62,4
614,62,5
827,44,6
505,74,7
787,43,8
725,56,9
723,108,10
668,74,11
784,56,12
579,63,13
976,44,14
655,44,15
332,61,16
299,63,17
664,56,18
546,57,19
687,62,20
468,75,21
560,62,22
389,42,23
427,62,24
413,109,25
984,42,26
686,56,27
551,57,28
315,57,29
884,56,30
566,43,31
614,75,32
687,43,33
822,63,34
423,75,35
820,76,36
1290,63,37
949,44,38
735,44,39
758,43,40
1161,63,41
692,56,42
588,66,43
314,62,44
